p_val,avg_log2FC,pct.1,pct.2,p_val_adj
CLSTN3,1.02453752676918e-43,0.538843228546243,0.177,0.054,1.4554580105283e-39
BST2,1.86359620256483e-33,0.536940089329196,0.603,0.439,2.64742476536359e-29
CHD9,4.76075073814625e-29,0.535760875587069,0.385,0.225,6.76312249861056e-25
NFKBIB,6.88430538121536e-31,0.534147711630506,0.258,0.122,9.77984422455455e-27
ARF6,9.42093543221104e-65,0.532270775715946,0.813,0.669,1.3383380874999e-60
ABHD15,1.50812960008601e-41,0.532023858439415,0.172,0.054,2.14244890988219e-37
STK17A,3.49125941978543e-40,0.526843227462962,0.674,0.466,4.95968313174718e-36
G6PD,1.44296469883969e-30,0.524482496889594,0.327,0.174,2.04987565117166e-26
PPP1R9A,7.43103223369301e-138,0.522392232176349,0.101,0.003,1.05565243911843e-133
TERF1,5.74825695310525e-28,0.52124746767197,0.38,0.221,8.16597382758131e-24
SSBP3,1.30100711375839e-26,0.52097334719059,0.41,0.252,1.84821070580517e-22
BSG,1.4420784324493e-28,0.520713636362797,0.542,0.386,2.04861662113748e-24
ADGRE5,1.96100173042924e-32,0.517560897519274,0.589,0.402,2.78579905824778e-28
BHLHE40,4.12758667066908e-24,0.516389940926546,0.241,0.124,5.8636496243525e-20
CFLAR,1.00596865104467e-41,0.515614234970137,0.702,0.52,1.42907906567406e-37
CD226,1.04110401076102e-30,0.513360786098913,0.317,0.159,1.4789923576871e-26
PITPNC1,2.36511650204797e-28,0.513038271502893,0.48,0.303,3.35988450280935e-24
TIGIT,2.09738678866092e-38,0.51207378615222,0.182,0.061,2.9795476719717e-34
SELENOK,6.78681791050767e-41,0.51150243691006,0.7,0.495,9.6413535236672e-37
FHL3,1.16799591751186e-35,0.510167386052389,0.179,0.063,1.65925500041735e-31
SYAP1,6.33366936439074e-28,0.508919472791826,0.469,0.305,8.99761069905349e-24
SLC15A4,1.80247479671536e-28,0.507057841789721,0.234,0.109,2.56059569621383e-24
TOX,9.26938214674245e-36,0.506788359634153,0.206,0.077,1.31680842776623e-31
GSN,5.99854342118295e-33,0.506249062344514,0.217,0.09,8.52153078413249e-29
SAR1A,4.90762048831672e-25,0.504218991286769,0.474,0.324,6.97176566570274e-21
PTPN7,6.99640646948734e-28,0.503734467282833,0.369,0.208,9.93909503055372e-24
CYBA,6.91210386759223e-144,0.502652773197505,0.989,0.919,9.81933475430152e-140
TENT5C,1.54183060212043e-30,0.501251914370278,0.308,0.15,2.19032455337228e-26
NEIL1,5.21452891391603e-43,0.497883629817428,0.136,0.034,7.40775977510911e-39
PPIL2,1.03543510215534e-27,0.496408939715209,0.264,0.131,1.47093910612187e-23
ZEB2,2.04426871018681e-34,0.495876383634665,0.63,0.402,2.90408812969138e-30
COMMD5,2.85672801893779e-28,0.494520993579019,0.192,0.08,4.05826782370302e-24
DTHD1,1.50325835603526e-53,0.494392677892731,0.118,0.022,2.13552882058369e-49
USP28,7.55062480147439e-30,0.49350839015286,0.273,0.131,1.07264175929745e-25
B4GALT4,1.61604308083683e-26,0.493495514833369,0.25,0.121,2.2957508006368e-22
INPP5D,2.39971950032342e-25,0.490122512377371,0.462,0.31,3.40904152215945e-21
TMEM120B,4.50800405376984e-25,0.488851149557704,0.352,0.203,6.40407055878544e-21
DNAJC1,3.96508890526434e-24,0.487295499811741,0.326,0.187,5.63280529881852e-20
ERN1,3.07743457904771e-26,0.485769087099666,0.315,0.169,4.37180356299518e-22
IER2,6.25243183891005e-49,0.485281019140602,0.819,0.612,8.88220467035562e-45
MYDGF,3.93076812495166e-23,0.482006702267989,0.41,0.267,5.58404919830633e-19
NDUFB7,1.06822287566631e-30,0.481640097661992,0.627,0.474,1.51751741717157e-26
RIN3,1.7671848939165e-21,0.481002474233439,0.39,0.25,2.51046286029779e-17
ST3GAL4,2.99236629810322e-47,0.480091740814576,0.125,0.028,4.25095556308544e-43
HLA-F,8.58976040956536e-59,0.479112124206719,0.848,0.69,1.22026136378286e-54
CLEC2B,1.51114260610372e-33,0.476738046069883,0.703,0.535,2.14672918623095e-29
ADD1,2.03774783381598e-25,0.476026089271305,0.52,0.365,2.89482457271898e-21
ATP2B4,2.32281271042733e-21,0.475710263084401,0.328,0.198,3.29978773643307e-17
DSTN,3.81723708551885e-25,0.473703559487479,0.56,0.415,5.42276700368807e-21
CD164,1.80578213749107e-30,0.47316357998637,0.649,0.508,2.56529410451981e-26
GSTP1,2.70066150969318e-44,0.473105761531904,0.796,0.602,3.83655974067012e-40
LAIR1,1.60284061061943e-22,0.471830191830129,0.265,0.142,2.27699537144596e-18
ABI3,2.34945948171153e-21,0.471728465665862,0.248,0.135,3.3376421397194e-17
RAP1GAP2,1.69709213738249e-24,0.470555192138192,0.222,0.108,2.41088909036556e-20
CAPN15,3.28607075773844e-26,0.469124997772726,0.229,0.108,4.66819211844323e-22
GOLIM4,1.43953347356993e-33,0.468875987877565,0.139,0.044,2.04500125255345e-29
FAM49B,3.44926830176487e-39,0.467837521856666,0.739,0.581,4.90003054948717e-35
ATG2A,4.97758207466798e-21,0.465884253113718,0.364,0.229,7.07115309527334e-17
MAP1LC3B,5.48145409887543e-29,0.463105103081984,0.625,0.457,7.78695369286244e-25
PRR5L,4.73015483498375e-35,0.462989084562079,0.152,0.049,6.71965795857791e-31
DDOST,1.50745630224947e-28,0.462988196400769,0.61,0.451,2.1414924229756e-24
ANXA6,1.13837343123977e-26,0.462807578953162,0.581,0.409,1.61717329641921e-22
RAB37,2.0555568080584e-23,0.461560076039729,0.324,0.184,2.92012400152777e-19
PRDX5,1.34864108862358e-24,0.460366588482422,0.572,0.425,1.91587953049866e-20
KCTD10,1.39754923475308e-29,0.459884481578733,0.168,0.063,1.98535844289022e-25
SERTAD1,7.96012227238249e-23,0.458554625564004,0.16,0.068,1.13081497001466e-18
ITCH,7.92416121255316e-22,0.458457888327271,0.376,0.239,1.1257063418553e-17
BRD7,1.30358185489111e-22,0.458153557379722,0.491,0.347,1.85186838305831e-18
COL6A2,3.58433550414804e-14,0.458087965843619,0.144,0.072,5.0919070171927e-10
MANF,7.19916278203605e-25,0.457069435870806,0.31,0.168,1.02271306481604e-20
GABARAPL1,5.43400875934077e-21,0.455926237946607,0.321,0.192,7.7195528435195e-17
